Date,Area Name,Time of Day,Traffic Volume
2022-01-07,Electronic City,Morning Peak (8am-11am),4333
2022-01-07,Electronic City,Afternoon (12pm-4pm),3095
2022-01-07,Electronic City,Evening Peak (5pm-9pm),4952
2022-01-08,Electronic City,Morning Peak (8am-11am),6274
2022-01-08,Electronic City,Afternoon (12pm-4pm),4481
2022-01-08,Electronic City,Evening Peak (5pm-9pm),7170
2022-01-11,Electronic City,Morning Peak (8am-11am),4806
2022-01-11,Electronic City,Afternoon (12pm-4pm),3433
2022-01-11,Electronic City,Evening Peak (5pm-9pm),5493
2022-01-12,Electronic City,Morning Peak (8am-11am),6762
2022-01-12,Electronic City,Afternoon (12pm-4pm),4830
2022-01-12,Electronic City,Evening Peak (5pm-9pm),7728
2022-01-14,Electronic City,Morning Peak (8am-11am),2192
2022-01-14,Electronic City,Afternoon (12pm-4pm),1566
2022-01-14,Electronic City,Evening Peak (5pm-9pm),2506
2022-01-15,Electronic City,Morning Peak (8am-11am),1715
2022-01-15,Electronic City,Afternoon (12pm-4pm),1225
2022-01-15,Electronic City,Evening Peak (5pm-9pm),1960
2022-01-20,Electronic City,Morning Peak (8am-11am),4451
2022-01-20,Electronic City,Afternoon (12pm-4pm),3179
2022-01-20,Electronic City,Evening Peak (5pm-9pm),5087
2022-01-22,Electronic City,Morning Peak (8am-11am),6400
2022-01-22,Electronic City,Afternoon (12pm-4pm),4571
2022-01-22,Electronic City,Evening Peak (5pm-9pm),7314
2022-01-23,Electronic City,Morning Peak (8am-11am),5036
2022-01-23,Electronic City,Afternoon (12pm-4pm),3597
2022-01-23,Electronic City,Evening Peak (5pm-9pm),5756
2022-01-25,Electronic City,Morning Peak (8am-11am),6671
2022-01-25,Electronic City,Afternoon (12pm-4pm),4765
2022-01-25,Electronic City,Evening Peak (5pm-9pm),7624
2022-01-26,Electronic City,Morning Peak (8am-11am),3635
2022-01-26,Electronic City,Afternoon (12pm-4pm),2596
2022-01-26,Electronic City,Evening Peak (5pm-9pm),4154
2022-01-27,Electronic City,Morning Peak (8am-11am),2509
2022-01-27,Electronic City,Afternoon (12pm-4pm),1792
2022-01-27,Electronic City,Evening Peak (5pm-9pm),2868
2022-01-27,Electronic City,Morning Peak (8am-11am),4177
2022-01-27,Electronic City,Afternoon (12pm-4pm),2984
2022-01-27,Electronic City,Evening Peak (5pm-9pm),4774
2022-01-28,Electronic City,Morning Peak (8am-11am),6053
2022-01-28,Electronic City,Afternoon (12pm-4pm),4324
2022-01-28,Electronic City,Evening Peak (5pm-9pm),6918
2022-01-29,Electronic City,Morning Peak (8am-11am),6544
2022-01-29,Electronic City,Afternoon (12pm-4pm),4674
2022-01-29,Electronic City,Evening Peak (5pm-9pm),7479
2022-01-30,Electronic City,Morning Peak (8am-11am),2448
2022-01-30,Electronic City,Afternoon (12pm-4pm),1748
2022-01-30,Electronic City,Evening Peak (5pm-9pm),2798
2022-02-01,Electronic City,Morning Peak (8am-11am),7536
